stop_name;direction_id;ligne;stop_id;stop_id_gtfs;stop_name_gtfs;jaccard;distance
GARE DE PUTEAUX;1;158;336;StopPoint:59:6309084;GARE DE PUTEAUX;0;24.46502946
MAIRIE DE PUTEAUX;1;158;337;StopPoint:59:6309124;MAIRIE DE PUTEAUX;0;34.49122432
ROUSSELLE;1;158;338;StopPoint:59:3877777;ROUSSELLE;0;13.09076519
PAUL LAFARGUE;1;158;339;StopPoint:59:3877775;PAUL LAFARGUE;0;6.593194168
SOLJENITSYNE;1;158;341;StopPoint:59:4024294;SOLJENITSYNE;0;18.47057947
PONT DE NEUILLYRIVE GAUCHE;1;158;344;StopPoint:59:4024343;PONT DE NEUILLY  RIVE GAUCHE;0.024624449;13.31339165
ARAGO JEAN JAURES;1;158;340;StopPoint:59:6309126;ARAGO  JEAN JAURES;0.010674736;20.28686723
LA DEFENSE;0;159;30;StopPoint:59:4024344;LA DEFENSEMETRORERTRAMWAY;0.266983334;31.43746394
LES BOUVETS;0;159;29;StopPoint:59:6195742;LES BOUVETS;0;32.30001198
LES GRAVIERS;0;159;5;StopPoint:59:4024348;LES GRAVIERS;0;33.22749859
BERTHELOTCARRE VERT;0;159;8;StopPoint:59:6309177;BERTHELOT  CARRE VERT;0.034983568;24.6594019
LES ROSIERS;0;159;9;StopPoint:59:4023193;LES ROSIERS;0;14.92428842
LES FONTENELLES;0;159;10;StopPoint:59:4023195;LES FONTENELLES;0;8.186560562
FERNAND LEGER;0;159;11;StopPoint:59:4023197;FERNAND LEGER;0;43.32969159
LIBERTE;0;159;12;StopPoint:59:4023199;LIBERTE;0;68.30717203
THEATRE DES AMANDIERS;0;159;13;StopPoint:59:6187515;THEATRE DES AMANDIERS;0;10.28982731
JOLIOT CURIECOURBEVOIE;0;159;14;StopPoint:59:7069327;JOLIOTCURIE  COURBEVOIE;0.008956191;18.67868481
PREFECTURE HAUTSDESEINE;0;159;15;StopPoint:59:6456131;PREFECTURE DES HAUTSDESEINE;0.013983986;17.62088218
SOUFFLOT;0;159;16;StopPoint:59:4024365;SOUFFLOT;0;143.3653336
PASCAL;0;159;17;StopPoint:59:4024929;PASCAL;0;11.47191787
GOUNOD;0;159;18;StopPoint:59:4024369;GOUNOD;0;23.93727235
VICTOR HUGOMAIRIE;0;159;19;StopPoint:59:4024371;VICTOR HUGO  MAIRIE;0.056629929;10.31231784
PLAINCHAMP;0;159;20;StopPoint:59:7069315;PLAINCHAMP;0;21.98520956
RUE DES ANCIENNES MAIRIES;0;159;21;StopPoint:59:7069317;RUE DES ANCIENNES MAIRIES;0;38.02078554
MAURICE THOREZ;0;159;22;StopPoint:59:6578385;MAURICE THOREZ;0;21.84721635
JULES QUENTIN;0;159;23;StopPoint:59:4024088;JULES QUENTIN;0;14.26625234
PAUL LESCOP;0;159;24;StopPoint:59:4024381;PAUL LESCOP;0;7.423732597
PONT DE BIAIS;0;159;25;StopPoint:59:4024383;PONT DE BIAIS;0;118.2893698
RUE DU PORT;0;159;26;StopPoint:59:4024384;RUE DU PORT;0;15.74229226
ROUTE DE CHATOU;0;159;28;StopPoint:59:4024385;ROUTE DE CHATOU;0;5.582755534
CITE DU VIEUX PONT;1;159;31;StopPoint:59:4024386;CITE DU VIEUX PONT;0;28.07234244
ROUTE DE CHATOU;1;159;32;StopPoint:59:4024388;ROUTE DE CHATOU;0;17.84145873
PAUL LESCOP;1;159;33;StopPoint:59:4024382;PAUL LESCOP;0;37.77623013
JULES QUENTIN;1;159;34;StopPoint:59:4024380;JULES QUENTIN;0;8.635494651
MAURICE THOREZ;1;159;35;StopPoint:59:7069336;MAURICE THOREZ;0;16.7912812
RUE DES ANCIENNES MAIRIES;1;159;78;StopPoint:59:7069318;RUE DES ANCIENNES MAIRIES;0;6.183773603
PLAINCHAMP;1;159;37;StopPoint:59:6578359;PLAINCHAMP;0;10.19821537
VICTOR HUGOMAIRIE;1;159;38;StopPoint:59:4024372;VICTOR HUGO  MAIRIE;0.056629929;36.33482504
BALZACZOLA;1;159;39;StopPoint:59:7069326;BALZAC  ZOLA;0.087129071;48.24123455
GOUNOD;1;159;40;StopPoint:59:7069323;GOUNOD;0;8.013039504
PASCAL;1;159;41;StopPoint:59:4024930;PASCAL;0;47.79537569
SOUFFLOT;1;159;42;StopPoint:59:4024366;SOUFFLOT;0;62.814176
PREFECTURE HAUTSDESEINE;1;159;43;StopPoint:59:7069334;PREFECTURE DES HAUTSDESEINE;0.013983986;30.16164795
JOLIOT CURIECOURBEVOIE;1;159;44;StopPoint:59:5150174;JOLIOTCURIE  COURBEVOIE;0.008956191;21.22609026
LIBERTE;1;159;45;StopPoint:59:4023200;LIBERTE;0;23.36318208
FERNAND LEGER;1;159;46;StopPoint:59:4023198;FERNAND LEGER;0;22.43750846
LES FONTENELLES;1;159;47;StopPoint:59:4023196;LES FONTENELLES;0;17.47629975
LES ROSIERS;1;159;48;StopPoint:59:4023194;LES ROSIERS;0;17.29817904
BERTHELOTCARRE VERT;1;159;49;StopPoint:59:6810194;BERTHELOT  CARRE VERT;0.034983568;71.42405546
LES GRAVIERS;1;159;50;StopPoint:59:6195736;LES GRAVIERS;0;17.22447737
